Statistic Label,Year,Age Group,Sex,Road User Type,UNIT,VALUE
All Killed and Injured Casualties,2015,21 - 24 years,Male,All road users,Number,475
All Killed and Injured Casualties,2015,25 - 34 years,Male,All road users,Number,948
All Killed and Injured Casualties,2015,35 - 44 years,Male,All road users,Number,805
All Killed and Injured Casualties,2015,45 - 54 years,Male,All road users,Number,554
All Killed and Injured Casualties,2015,55 - 64 years,Male,All road users,Number,419
All Killed and Injured Casualties,2016,21 - 24 years,Male,All road users,Number,436
All Killed and Injured Casualties,2016,25 - 34 years,Male,All road users,Number,940
All Killed and Injured Casualties,2016,35 - 44 years,Male,All road users,Number,865
All Killed and Injured Casualties,2016,45 - 54 years,Male,All road users,Number,606
All Killed and Injured Casualties,2016,55 - 64 years,Male,All road users,Number,395
All Killed and Injured Casualties,2017,21 - 24 years,Male,All road users,Number,436
All Killed and Injured Casualties,2017,25 - 34 years,Male,All road users,Number,979
All Killed and Injured Casualties,2017,35 - 44 years,Male,All road users,Number,880
All Killed and Injured Casualties,2017,45 - 54 years,Male,All road users,Number,649
All Killed and Injured Casualties,2017,55 - 64 years,Male,All road users,Number,378
All Killed and Injured Casualties,2018,21 - 24 years,Male,All road users,Number,391
All Killed and Injured Casualties,2018,25 - 34 years,Male,All road users,Number,979
All Killed and Injured Casualties,2018,35 - 44 years,Male,All road users,Number,901
All Killed and Injured Casualties,2018,45 - 54 years,Male,All road users,Number,698
All Killed and Injured Casualties,2018,55 - 64 years,Male,All road users,Number,487
All Killed and Injured Casualties,2019,21 - 24 years,Male,All road users,Number,409
All Killed and Injured Casualties,2019,25 - 34 years,Male,All road users,Number,914
All Killed and Injured Casualties,2019,35 - 44 years,Male,All road users,Number,880
All Killed and Injured Casualties,2019,45 - 54 years,Male,All road users,Number,663
All Killed and Injured Casualties,2019,55 - 64 years,Male,All road users,Number,418
All Killed and Injured Casualties,2020,21 - 24 years,Male,All road users,Number,286
All Killed and Injured Casualties,2020,25 - 34 years,Male,All road users,Number,720
All Killed and Injured Casualties,2020,35 - 44 years,Male,All road users,Number,651
All Killed and Injured Casualties,2020,45 - 54 years,Male,All road users,Number,560
All Killed and Injured Casualties,2020,55 - 64 years,Male,All road users,Number,343
